data,hora,taxa
2021/07/16,09:45:32,3.741959110998783
2021/07/16,09:45:46,3.906843303125908
2021/07/16,09:45:49,4.049858962379005
2021/07/16,09:45:51,4.19404538380406
2021/07/16,09:45:54,3.6716671551579028
2021/07/16,09:45:56,4.035876151162542
2021/07/16,09:45:58,4.385100210735635
2021/07/16,09:46:01,4.005458275778986
2021/07/16,09:46:03,4.246416031670122
2021/07/16,09:46:05,4.469556076459642
2021/07/16,09:46:08,3.7607064285112064
2021/07/16,09:46:21,3.8978241483938025
2021/07/16,09:46:30,3.832247611860834
2021/07/16,09:46:33,4.598397218328227
2021/07/16,09:46:35,4.638529092842622
2021/07/16,09:46:38,3.6955976305600546
2021/07/16,09:46:40,4.263824629678028
2021/07/16,09:46:43,4.316217589237208
2021/07/16,09:46:45,3.692507834271098
2021/07/16,09:46:48,3.7590800226646763
